player_id,SEASON,DREB/G,OREB/G,REB/G,PF/G,A/G,TO/G,A/TO,STL/G,BLK/G
0,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2010,2.3,1.5,3.8,1.3,0.2,0.5,0.3,0.7,0.0
2,2010,0.1,0.4,0.5,0.6,0.3,0.4,0.7,0.5,0.0
3,2010,0.5,0.8,1.3,1.6,1.4,2.1,0.7,1.3,0.0
4,2010,0.7,3.1,3.8,2.3,3.8,3.5,1.1,2.1,0.0
5,2010,1.6,1.1,2.7,1.2,2.2,3.1,0.7,2.4,0.2
6,2010,0.9,1.9,2.9,2.5,0.7,1.2,0.6,0.8,0.6
7,2010,2.4,3.5,6.0,2.4,3.1,1.4,2.2,1.5,0.3
8,2010,0.1,0.6,0.7,0.1,0.3,0.0,0.0,0.1,0.1
9,2010,1.6,1.8,3.4,2.4,2.3,2.1,1.1,0.8,0.1
10,2010,2.1,3.0,5.1,2.0,1.2,0.8,1.5,0.6,0.1
11,2010,1.8,2.1,3.9,1.3,0.3,1.1,0.2,0.7,0.3
12,2010,1.4,4.0,5.4,2.5,0.9,1.4,0.6,0.4,1.0
13,2010,1.2,0.9,2.1,0.9,0.1,0.9,0.1,0.6,0.0
14,2010,0.7,0.2,0.8,0.5,0.2,0.5,0.3,0.3,0.0
15,2010,0.3,0.5,0.8,0.8,0.3,1.4,0.2,0.2,0.0
16,2010,2.4,4.4,6.8,1.6,2.8,2.8,1.0,0.8,0.3
17,2010,0.7,1.5,2.1,1.6,4.7,2.1,2.2,1.3,0.1
18,2010,1.0,1.8,2.8,1.1,1.9,2.1,0.9,1.6,0.3
19,2010,3.4,2.7,6.0,2.2,2.0,2.6,0.8,1.6,0.1
20,2010,0.3,0.8,1.1,0.8,0.8,1.1,0.8,0.4,0.0
21,2010,0.5,0.8,1.3,0.6,0.8,1.2,0.7,0.6,0.1
22,2010,0.4,1.1,1.4,0.6,0.1,0.7,0.1,0.4,0.0
23,2010,0.4,1.0,1.4,0.8,0.2,0.4,0.6,0.1,0.1
24,2010,1.1,4.5,5.6,1.4,3.2,2.3,1.4,3.0,0.1
25,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2010,1.2,2.3,3.5,2.5,0.5,0.9,0.6,0.3,0.3
27,2010,2.4,3.5,5.9,2.4,0.8,1.5,0.5,0.7,0.5
28,2010,0.7,2.1,2.8,1.3,3.0,1.8,1.6,1.1,0.0
29,2010,2.3,3.8,6.1,1.7,4.0,2.9,1.4,0.6,0.1
30,2010,1.4,2.8,4.2,2.3,0.6,1.4,0.4,0.0,0.2
31,2010,0.1,0.3,0.4,0.2,0.5,0.5,1.2,0.4,0.0
32,2010,0.5,0.3,0.8,0.8,0.5,0.5,1.0,0.3,0.0
33,2010,0.9,3.1,4.0,1.7,0.7,2.0,0.4,0.8,0.3
34,2010,0.9,2.1,3.0,2.3,4.2,2.7,1.6,1.7,0.1
35,2010,1.3,2.1,3.5,1.1,1.2,1.6,0.8,0.7,0.2
36,2010,0.6,1.7,2.4,0.8,1.5,2.1,0.7,0.5,0.2
37,2010,0.0,0.0,0.0,1.2,1.0,0.2,5.0,0.2,0.0
38,2010,0.0,0.0,0.0,0.0,1.7,0.7,2.5,0.0,0.0
39,2010,0.7,1.0,1.7,0.3,1.3,1.0,1.3,0.3,0.0
40,2010,2.8,4.5,7.3,2.1,0.9,2.0,0.4,0.2,0.2
41,2010,3.5,4.3,7.8,2.5,1.4,2.0,0.7,0.8,0.4
42,2010,1.0,2.4,3.4,3.1,0.3,0.8,0.4,0.2,0.4
43,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2010,0.1,0.6,0.7,0.4,0.5,1.1,0.5,0.4,0.0
45,2010,0.5,1.9,2.4,1.9,3.6,2.3,1.6,1.6,0.0
46,2010,1.2,2.0,3.2,1.9,0.8,1.4,0.6,0.4,0.6
47,2010,0.6,1.9,2.4,1.1,0.6,0.7,0.9,0.3,0.4
48,2010,1.7,4.0,5.8,1.6,2.7,4.2,0.6,1.7,0.7
49,2010,1.4,4.5,5.8,0.9,2.9,2.0,1.5,1.6,0.5
50,2010,0.3,1.6,1.9,1.4,1.5,2.1,0.7,0.7,0.1
51,2010,0.4,0.8,1.2,0.6,0.6,0.6,1.0,0.4,0.0
52,2010,2.7,4.6,7.3,2.5,1.2,2.4,0.5,0.7,1.4
53,2010,0.4,0.6,1.0,0.5,1.2,0.9,1.3,0.8,0.1
54,2010,0.4,1.2,1.6,0.5,1.5,1.2,1.3,0.6,0.1
55,2010,0.0,0.3,0.3,0.3,0.3,0.8,0.3,0.3,0.0
56,2010,1.5,3.5,5.0,1.4,2.7,2.1,1.3,1.3,0.0
57,2010,0.5,0.5,1.1,0.9,0.1,0.3,0.3,0.1,0.1
58,2010,0.3,0.8,1.1,1.4,1.0,1.1,0.9,0.5,0.0
59,2010,1.1,3.9,5.0,2.7,3.7,3.7,1.0,2.5,0.3
60,2010,0.8,0.3,1.0,0.5,0.5,0.9,0.6,0.8,0.0
61,2010,1.6,4.2,5.8,2.7,0.6,1.1,0.6,0.9,0.1
62,2010,1.1,2.5,3.5,1.6,3.0,2.4,1.3,1.1,0.6
63,2010,0.7,1.5,2.2,0.8,0.8,1.2,0.6,0.4,0.2
64,2010,0.3,0.6,0.8,0.2,0.6,0.5,1.1,0.3,0.1
65,2010,0.6,0.9,1.5,0.5,0.3,0.8,0.4,0.3,0.0
66,2010,1.5,1.9,3.4,2.0,0.8,2.1,0.4,0.4,0.3
67,2010,1.9,3.9,5.8,2.5,1.3,3.0,0.4,0.6,0.9
68,2010,1.2,2.7,3.9,2.0,1.4,1.6,0.8,0.6,0.1
69,2010,0.3,0.4,0.6,0.6,0.1,0.3,0.5,0.0,0.1
70,2010,0.2,0.3,0.5,0.9,0.4,0.8,0.4,0.2,0.1
71,2010,2.0,3.0,5.0,2.0,1.7,1.2,1.4,1.0,0.3
72,2010,1.4,1.6,3.1,2.1,1.5,1.8,0.8,1.6,0.1
73,2010,1.5,1.4,2.9,2.4,1.6,1.6,1.1,1.9,0.3
74,2010,0.3,0.6,0.9,0.8,0.6,0.8,0.8,0.7,0.0
75,2010,1.3,2.0,3.3,1.4,3.2,2.0,1.6,1.8,0.0
76,2010,0.8,1.2,1.9,1.6,1.7,2.0,0.8,1.1,0.1
77,2010,2.8,3.5,6.2,2.5,0.5,1.1,0.4,1.6,1.1
78,2010,1.3,0.9,2.1,1.1,0.1,0.7,0.2,0.0,0.0
79,2010,0.1,0.4,0.5,0.1,0.2,0.7,0.3,0.8,0.0
80,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2010,0.8,1.5,2.3,2.0,0.3,1.6,0.2,0.6,0.1
82,2010,3.1,5.2,8.3,2.6,2.9,3.5,0.8,2.5,0.1
83,2010,0.5,1.6,2.1,1.8,2.1,3.5,0.6,1.9,0.1
84,2010,0.9,1.1,1.9,1.6,0.5,1.1,0.4,0.3,0.1
85,2010,0.7,0.6,1.3,2.1,0.9,1.2,0.7,0.6,0.0
86,2010,0.4,0.6,0.9,0.9,0.6,1.1,0.5,0.3,0.0
87,2010,0.9,1.9,2.8,0.6,1.9,2.0,0.9,0.9,0.1
88,2010,1.4,6.2,7.5,3.3,2.7,2.4,1.1,0.9,0.8
89,2010,0.6,0.9,1.5,0.9,0.8,1.3,0.7,0.4,0.1
90,2010,1.2,2.9,4.1,2.4,1.6,1.5,1.1,0.9,0.0
91,2010,3.1,3.5,6.5,2.9,1.8,2.1,0.9,0.9,0.8
92,2010,0.2,0.9,1.1,1.3,2.9,2.8,1.0,0.4,0.0
93,2010,1.5,3.2,4.7,1.4,1.1,1.9,0.6,0.1,0.3
94,2010,0.5,0.9,1.5,0.7,1.0,1.6,0.6,0.7,0.1
95,2010,0.3,0.3,0.7,1.3,0.3,1.7,0.2,0.0,0.0
96,2010,1.5,2.5,4.0,2.8,1.4,3.4,0.4,0.7,0.0
97,2010,0.8,0.6,1.3,1.3,1.3,3.0,0.4,0.8,0.2
98,2010,0.8,2.3,3.0,2.1,2.1,3.8,0.6,1.1,0.7
99,2010,0.3,0.8,1.1,0.4,0.2,1.2,0.2,0.2,0.0
100,2010,0.3,1.0,1.3,2.0,1.0,2.2,0.5,0.7,0.1
101,2010,0.8,3.8,4.5,2.0,0.5,3.2,0.1,0.8,0.7
102,2010,2.5,4.3,6.8,2.9,0.9,2.3,0.4,0.8,0.3
103,2010,0.9,2.3,3.2,2.1,0.6,2.9,0.2,0.5,0.4
104,2010,1.0,1.4,2.4,2.7,0.7,5.4,0.1,0.7,0.0
105,2010,0.5,0.9,1.5,1.3,0.8,2.4,0.3,0.3,0.1
106,2010,0.5,0.3,0.7,0.5,0.3,0.9,0.4,0.6,0.1
107,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2010,1.7,2.6,4.3,1.8,1.4,2.5,0.6,1.8,0.1
109,2010,0.8,2.5,3.3,1.3,1.8,2.8,0.6,1.2,0.0
